,demand
1090,0.7166666666666666
2144,0.26666666666666666
2096,0.3
2886,0.45833333333333337
32,0.14166666666666666
1498,0.8
1808,0.03333333333333333
2053,0.24166666666666667
1483,0.7833333333333333
798,0.875
670,0.21666666666666667
811,0.525
893,0.29166666666666663
4285,0.6666666666666666
2658,0.025
229,0.8666666666666667
1752,0.8166666666666667
3933,0.26666666666666666
408,0.3833333333333333
170,0.75
1702,0.43333333333333335
1398,0.7583333333333333
2992,0.3666666666666667
3849,0.5333333333333333
1632,0.2
776,0.6499999999999999
3256,0.5583333333333333
3041,0.9000000000000001
2943,0.025
3979,0.7166666666666667
2381,0.7
3876,0.6083333333333334
2610,0.48333333333333334
1356,0.6916666666666667
43,0.7916666666666666
764,0.6666666666666666
3679,0.18333333333333335
3601,0.6083333333333333
1068,0.2
3252,0.26666666666666666
4055,0.8166666666666667
1714,0.7833333333333333
857,0.5166666666666667
251,0.6749999999999999
2615,0.7000000000000001
3337,0.25
829,0.825
1411,0.016666666666666666
856,0.9083333333333333
668,0.16666666666666669
1723,0.7083333333333333
325,0.8666666666666666
1444,0.4916666666666667
2707,0.675
2517,0.6916666666666667
4172,0.008333333333333333
787,0.775
3929,0.20833333333333331
620,0.22500000000000003
1741,0.38333333333333336
3196,0.10833333333333334
2496,0.03333333333333333
881,0.23333333333333334
4077,0.13333333333333333
2357,0.5666666666666667
1454,0.4083333333333333
99,0.8
3253,0.1
1988,0.058333333333333334
4127,0.125
1926,0.03333333333333333
2316,0.8666666666666667
1260,0.725
657,0.775
495,0.5916666666666667
1429,0.24166666666666667
802,0.03333333333333333
1123,0.38333333333333336
1162,0.24166666666666667
3213,0.8083333333333333
501,0.008333333333333333
4282,0.475
2754,0.7833333333333333
2083,0.15833333333333333
759,0.7
605,0.8583333333333333
2614,0.18333333333333332
1602,0.8833333333333334
1918,0.4416666666666667
1919,0.7833333333333332
1832,0.016666666666666666
1117,0.425
1071,0.7
3207,0.6333333333333333
174,0.8583333333333334
800,0.24166666666666667
217,0.22499999999999998
3720,0.3833333333333333
3926,0.35
3655,0.4916666666666667
567,0.7
3714,0.16666666666666666
1437,0.6833333333333333
2236,0.6166666666666666
794,0.5833333333333334
3687,0.26666666666666666
1606,0.8250000000000001
3161,0.525
2460,0.7083333333333333
2458,0.825
1550,0.4083333333333333
1835,0.6916666666666667
618,0.75
576,0.38333333333333336
1829,0.5
650,0.08333333333333333
3641,0.7500000000000001
156,0.8083333333333333
3751,0.5666666666666667
2457,0.8
2439,0.725
1293,0.4166666666666667
1641,0.7000000000000001
293,0.7833333333333333
95,0.6083333333333333
1235,0.25833333333333336
240,0.5666666666666667
1146,0.6083333333333334
